Player,Team,Rating,K/D,Assists_per_round,Support_rounds
donk,Spirit,1.75,1.67,0.16,0.14
ZywOo,Vitality,1.4,1.55,0.18,0.13
ropz,Vitality,1.31,1.4,0.2,0.13
KSCERATO,FURIA,1.14,1.29,0.22,0.15
bodyy,3DMAX,1.45,1.11,0.28,0.14
mezii,Vitality,1.13,1.34,0.2,0.13
w0nderful,Natus Vincere,1.06,1.36,0.14,0.16
mzinho,The MongolZ,1.28,1.2,0.18,0.05
kyousuke,Falcons,1.34,1.14,0.19,0.15
Kvem,Passion UA,1.37,1.14,0.24,0.11
iM,Natus Vincere,1.28,1.18,0.25,0.12
try,Imperial,1.28,1.29,0.13,0.15
JT,Passion UA,1.06,1.02,0.17,0.13
makazze,Natus Vincere,1.29,1.05,0.23,0.09
sh1ro,Spirit,0.98,1.44,0.15,0.08
NiKo,Falcons,1.15,1.2,0.15,0.14
xertioN,MOUZ,1.1,1.07,0.21,0.1
frozen,FaZe,1.33,1.12,0.23,0.12
m0NESY,Falcons,1.17,1.33,0.14,0.11
broky,FaZe,1.17,1.27,0.16,0.14
molodoy,FURIA,1.23,1.17,0.08,0.03
HeavyGod,G2,0.8,1.0,0.12,0.15
Twistzz,FaZe,1.0,1.05,0.15,0.12
xiELO,PARIVISION,1.16,1.0,0.22,0.19
biguzera,paiN,1.33,1.03,0.21,0.09
Spinx,MOUZ,1.05,0.94,0.21,0.1
bLitz,The MongolZ,1.1,1.04,0.24,0.08
dgt,paiN,0.94,0.97,0.18,0.08
jcobbb,FaZe,0.95,1.02,0.18,0.11
yuurih,FURIA,0.87,0.98,0.25,0.12
tN1R,Spirit,0.96,1.09,0.19,0.06
torzsi,MOUZ,0.84,1.12,0.13,0.15
FalleN,FURIA,0.94,1.0,0.17,0.12
flameZ,Vitality,1.06,0.94,0.19,0.06
SunPayus,G2,1.01,1.03,0.17,0.1
910,The MongolZ,1.02,1.12,0.14,0.1
Jimpphat,MOUZ,0.91,1.02,0.21,0.11
NAF,Liquid,0.8,0.93,0.16,0.12
kensizor,B8,1.07,0.9,0.17,0.08
b1t,Natus Vincere,0.94,1.09,0.21,0.11
controlez,The MongolZ,1.27,1.05,0.19,0.09
alex666,B8,1.05,0.96,0.17,0.07
esenthial,B8,0.98,0.88,0.16,0.1
nqz,paiN,0.9,1.0,0.09,0.12
Graviti,3DMAX,1.07,0.97,0.17,0.09
zweih,Spirit,0.98,0.89,0.17,0.08
nota,PARIVISION,1.12,0.81,0.22,0.13
MATYS,G2,0.99,0.84,0.2,0.12
hallzerk,Passion UA,0.83,0.91,0.15,0.11
YEKINDAR,FURIA,1.0,0.82,0.28,0.05
EliGE,Liquid,0.83,0.83,0.18,0.14
kyxsan,Falcons,0.76,0.82,0.21,0.06
Maka,3DMAX,0.93,0.91,0.15,0.05
Jame,PARIVISION,0.76,0.96,0.1,0.13
Aleksib,Natus Vincere,0.69,0.83,0.19,0.11
Lucky,3DMAX,0.68,0.83,0.2,0.1
nicx,Passion UA,0.73,0.78,0.13,0.13
Grim,Passion UA,0.87,0.79,0.16,0.07
npl,B8,0.82,0.79,0.2,0.12
siuhy,Liquid,0.91,0.81,0.18,0.09
Techno,The MongolZ,0.84,0.82,0.15,0.07
skullz,Imperial,0.71,0.86,0.16,0.2
chelo,Imperial,0.93,0.8,0.25,0.07
TeSeS,Falcons,0.73,0.78,0.22,0.09
malbsMd,G2,0.93,0.73,0.16,0.08
headtr1ck,B8,0.71,0.87,0.12,0.08
chopper,Spirit,0.77,0.83,0.19,0.05
apEX,Vitality,0.82,0.75,0.22,0.08
dav1deuS,paiN,0.89,0.81,0.2,0.09
ultimate,Liquid,0.73,0.73,0.13,0.06
NertZ,Liquid,0.96,0.82,0.23,0.06
karrigan,FaZe,0.79,0.77,0.19,0.06
huNter-,G2,0.79,0.77,0.2,0.07
noway,Imperial,0.7,0.83,0.21,0.14
AW,PARIVISION,0.7,0.7,0.13,0.09
BELCHONOKK,PARIVISION,0.77,0.68,0.24,0.13
Brollan,MOUZ,0.83,0.7,0.17,0.06
VINI,Imperial,0.69,0.63,0.27,0.06
Ex3rcice,3DMAX,0.64,0.78,0.16,0.08
snow,paiN,0.73,0.66,0.24,0.11
