Player,Team,Rating,K/D,Assists_per_round,Support_rounds,Impact_Score,Sacrifice_Index,Star_Factor,Cluster,Predicted_Role
donk,Spirit,1.75,1.67,0.16,0.14,2.9225,0.022400000000000003,7.291666666666666,0,Yıldız (Star Rifler)
ZywOo,Vitality,1.4,1.55,0.18,0.13,2.17,0.0234,6.08695652173913,0,Yıldız (Star Rifler)
ropz,Vitality,1.31,1.4,0.2,0.13,1.8339999999999999,0.026000000000000002,5.695652173913044,0,Yıldız (Star Rifler)
KSCERATO,FURIA,1.14,1.29,0.22,0.15,1.4706,0.033,4.56,0,Yıldız (Star Rifler)
bodyy,3DMAX,1.45,1.11,0.28,0.14,1.6095000000000002,0.039200000000000006,6.041666666666666,0,Yıldız (Star Rifler)
mezii,Vitality,1.13,1.34,0.2,0.13,1.5142,0.026000000000000002,4.913043478260869,0,Yıldız (Star Rifler)
w0nderful,Natus Vincere,1.06,1.36,0.14,0.16,1.4416000000000002,0.022400000000000003,4.076923076923077,0,Yıldız (Star Rifler)
mzinho,The MongolZ,1.28,1.2,0.18,0.05,1.536,0.009,8.533333333333331,0,Yıldız (Star Rifler)
kyousuke,Falcons,1.34,1.14,0.19,0.15,1.5276,0.028499999999999998,5.36,0,Yıldız (Star Rifler)
Kvem,Passion UA,1.37,1.14,0.24,0.11,1.5618,0.0264,6.523809523809524,0,Yıldız (Star Rifler)
iM,Natus Vincere,1.28,1.18,0.25,0.12,1.5104,0.03,5.818181818181818,0,Yıldız (Star Rifler)
try,Imperial,1.28,1.29,0.13,0.15,1.6512,0.0195,5.12,0,Yıldız (Star Rifler)
JT,Passion UA,1.06,1.02,0.17,0.13,1.0812000000000002,0.0221,4.608695652173913,2,Lider / Destek (IGL)
makazze,Natus Vincere,1.29,1.05,0.23,0.09,1.3545,0.0207,6.7894736842105265,0,Yıldız (Star Rifler)
sh1ro,Spirit,0.98,1.44,0.15,0.08,1.4112,0.012,5.444444444444445,0,Yıldız (Star Rifler)
NiKo,Falcons,1.15,1.2,0.15,0.14,1.38,0.021,4.791666666666666,0,Yıldız (Star Rifler)
xertioN,MOUZ,1.1,1.07,0.21,0.1,1.1770000000000003,0.021,5.5,0,Yıldız (Star Rifler)
frozen,FaZe,1.33,1.12,0.23,0.12,1.4896000000000003,0.0276,6.045454545454546,0,Yıldız (Star Rifler)
m0NESY,Falcons,1.17,1.33,0.14,0.11,1.5561,0.015400000000000002,5.57142857142857,0,Yıldız (Star Rifler)
broky,FaZe,1.17,1.27,0.16,0.14,1.4859,0.022400000000000003,4.874999999999999,0,Yıldız (Star Rifler)
molodoy,FURIA,1.23,1.17,0.08,0.03,1.4390999999999998,0.0024,9.461538461538462,1,Tüfekçi / Giriş (Entry)
HeavyGod,G2,0.8,1.0,0.12,0.15,0.8,0.018,3.2,2,Lider / Destek (IGL)
Twistzz,FaZe,1.0,1.05,0.15,0.12,1.05,0.018,4.545454545454546,2,Lider / Destek (IGL)
xiELO,PARIVISION,1.16,1.0,0.22,0.19,1.16,0.041800000000000004,3.999999999999999,2,Lider / Destek (IGL)
biguzera,paiN,1.33,1.03,0.21,0.09,1.3699000000000001,0.0189,7.0,0,Yıldız (Star Rifler)
Spinx,MOUZ,1.05,0.94,0.21,0.1,0.987,0.021,5.25,2,Lider / Destek (IGL)
bLitz,The MongolZ,1.1,1.04,0.24,0.08,1.1440000000000001,0.0192,6.111111111111112,0,Yıldız (Star Rifler)
dgt,paiN,0.94,0.97,0.18,0.08,0.9117999999999999,0.0144,5.222222222222222,1,Tüfekçi / Giriş (Entry)
