Player,Team,Rating,K/D,Assists_per_round,Support_rounds,Impact_Score,Sacrifice_Index,Star_Factor,Cluster,Predicted_Role
latto,Legacy,1.16,1.5,0.2,0.11,1.7399999999999998,0.022000000000000002,5.523809523809523,0,Yıldız (Star Rifler)
w0nderful,Natus Vincere,1.37,1.59,0.13,0.15,2.1783,0.0195,5.48,0,Yıldız (Star Rifler)
Kvem,Passion UA,1.48,1.16,0.27,0.14,1.7167999999999999,0.03780000000000001,6.166666666666666,0,Yıldız (Star Rifler)
ZywOo,Vitality,1.36,1.4,0.15,0.12,1.904,0.018,6.1818181818181825,0,Yıldız (Star Rifler)
dem0n,FUT,1.14,1.21,0.12,0.11,1.3793999999999997,0.0132,5.428571428571428,0,Yıldız (Star Rifler)
b1t,Natus Vincere,1.18,1.35,0.19,0.13,1.593,0.0247,5.130434782608695,0,Yıldız (Star Rifler)
dumau,Legacy,1.33,1.27,0.19,0.13,1.6891,0.0247,5.782608695652174,0,Yıldız (Star Rifler)
frozen,FaZe,0.97,1.16,0.15,0.18,1.1252,0.027,3.464285714285714,0,Yıldız (Star Rifler)
Staehr,Astralis,1.22,1.05,0.19,0.14,1.281,0.026600000000000002,5.083333333333333,0,Yıldız (Star Rifler)
dziugss,FUT,1.23,1.19,0.2,0.15,1.4637,0.03,4.92,0,Yıldız (Star Rifler)
REZ,GamerLegion,1.14,1.04,0.24,0.11,1.1856,0.0264,5.428571428571428,0,Yıldız (Star Rifler)
piriajr,paiN,1.4,1.3,0.17,0.08,1.8199999999999998,0.013600000000000001,7.777777777777778,1,Tüfekçi / Giriş (Entry)
arT,Legacy,1.34,1.08,0.27,0.09,1.4472000000000003,0.024300000000000002,7.052631578947369,1,Tüfekçi / Giriş (Entry)
malbsMd,Liquid,1.31,1.16,0.12,0.13,1.5196,0.0156,5.695652173913044,0,Yıldız (Star Rifler)
Magnojez,BetBoom,1.23,1.07,0.2,0.09,1.3161,0.018,6.473684210526316,1,Tüfekçi / Giriş (Entry)
Swisher,M80,1.04,1.05,0.22,0.16,1.092,0.0352,4.0,0,Yıldız (Star Rifler)
hypex,GamerLegion,0.94,1.19,0.14,0.12,1.1185999999999998,0.016800000000000002,4.2727272727272725,0,Yıldız (Star Rifler)
jabbi,Astralis,1.11,1.11,0.15,0.12,1.2321000000000002,0.018,5.045454545454546,0,Yıldız (Star Rifler)
ropz,Vitality,0.96,1.19,0.13,0.11,1.1423999999999999,0.0143,4.571428571428571,0,Yıldız (Star Rifler)
saadzin,Legacy,0.94,1.37,0.14,0.12,1.2878,0.016800000000000002,4.2727272727272725,0,Yıldız (Star Rifler)
s1zzi,B8,1.33,1.16,0.1,0.07,1.5428,0.007000000000000001,7.823529411764706,1,Tüfekçi / Giriş (Entry)
iM,Natus Vincere,1.02,1.11,0.17,0.12,1.1322,0.0204,4.636363636363637,0,Yıldız (Star Rifler)
PR,GamerLegion,1.12,1.13,0.16,0.13,1.2656,0.020800000000000003,4.869565217391305,0,Yıldız (Star Rifler)
snow,paiN,1.03,1.06,0.18,0.11,1.0918,0.019799999999999998,4.904761904761904,0,Yıldız (Star Rifler)
Twistzz,FaZe,1.24,1.0,0.16,0.11,1.24,0.0176,5.904761904761904,0,Yıldız (Star Rifler)
npl,B8,1.23,1.12,0.18,0.12,1.3776000000000002,0.021599999999999998,5.590909090909091,0,Yıldız (Star Rifler)
makazze,Natus Vincere,1.22,0.97,0.26,0.06,1.1834,0.0156,7.625,1,Tüfekçi / Giriş (Entry)
